violation_date,borough,count_violation_by_date_borough
4/11/2014,Staten Island,17
4/11/2014,Unknown,1
4/12/2014,Bronx,6
4/12/2014,Brooklyn,23
4/12/2014,Manhattan,2
4/12/2014,Queens,7
4/14/2014,Bronx,12
4/14/2014,Brooklyn,14
4/14/2014,Manhattan,36
4/14/2014,Queens,11
4/14/2014,Staten Island,6
4/14/2014,Unknown,5
4/15/2014,Bronx,19
4/15/2014,Brooklyn,13
4/15/2014,Manhattan,3
4/15/2014,Queens,23
4/15/2014,Unknown,34
4/16/2014,Bronx,7
4/16/2014,Brooklyn,18
4/16/2014,Manhattan,13
4/16/2014,Queens,21
4/16/2014,Staten Island,8
4/16/2014,Unknown,2
4/17/2014,Bronx,7
4/17/2014,Brooklyn,39
4/17/2014,Manhattan,36
4/17/2014,Queens,9
4/17/2014,Staten Island,8
4/18/2014,Bronx,2
4/18/2014,Brooklyn,14
4/18/2014,Manhattan,26
4/18/2014,Queens,16
4/21/2014,Bronx,8
4/21/2014,Brooklyn,13
4/21/2014,Manhattan,41
4/21/2014,Queens,13
4/21/2014,Staten Island,5
4/21/2014,Unknown,7
4/22/2014,Bronx,26
4/22/2014,Brooklyn,23
4/22/2014,Manhattan,21
4/22/2014,Queens,30
4/22/2014,Staten Island,2
4/22/2014,Unknown,24
4/23/2014,Bronx,10
4/23/2014,Brooklyn,16
4/23/2014,Manhattan,31
4/23/2014,Queens,19
4/23/2014,Staten Island,7
4/23/2014,Unknown,15
4/24/2014,Bronx,5
4/24/2014,Brooklyn,30
4/24/2014,Manhattan,36
4/24/2014,Outside NYC,1
4/24/2014,Queens,17
4/24/2014,Staten Island,10
4/25/2014,Bronx,12
4/25/2014,Brooklyn,24
4/25/2014,Manhattan,10
4/25/2014,Queens,17
4/25/2014,Staten Island,4
4/26/2014,Bronx,8
4/26/2014,Manhattan,11
4/26/2014,Queens,3
4/27/2014,Bronx,11
4/27/2014,Brooklyn,5
4/27/2014,Queens,12
4/28/2014,Bronx,11
4/28/2014,Brooklyn,1
4/28/2014,Manhattan,26
4/28/2014,Outside NYC,20
4/28/2014,Queens,8
4/28/2014,Staten Island,10
4/28/2014,Unknown,12
4/29/2014,Bronx,6
4/29/2014,Brooklyn,13
4/29/2014,Manhattan,5
4/29/2014,Queens,23
4/29/2014,Staten Island,2
4/30/2014,Bronx,6
4/30/2014,Brooklyn,9
4/30/2014,Manhattan,18
4/30/2014,Outside NYC,1
4/30/2014,Queens,9
4/30/2014,Staten Island,14
5/1/2014,Bronx,3
5/1/2014,Brooklyn,31
5/1/2014,Manhattan,36
5/1/2014,Queens,5
5/1/2014,Staten Island,8
5/2/2014,Bronx,13
5/2/2014,Brooklyn,19
5/2/2014,Manhattan,6
5/2/2014,Queens,11
5/2/2014,Staten Island,2
5/3/2014,Bronx,11
5/3/2014,Brooklyn,3
5/3/2014,Manhattan,2
5/3/2014,Queens,5
5/4/2014,Brooklyn,19
5/5/2014,Bronx,8
5/5/2014,Brooklyn,2
5/5/2014,Manhattan,27
5/5/2014,Outside NYC,2
5/5/2014,Queens,13
5/5/2014,Staten Island,7
5/5/2014,Unknown,25
5/6/2014,Bronx,10
5/6/2014,Brooklyn,5
5/6/2014,Manhattan,13
5/6/2014,Outside NYC,1
5/6/2014,Queens,19
5/6/2014,Staten Island,6
5/7/2014,Bronx,8
5/7/2014,Brooklyn,5
5/7/2014,Manhattan,20
5/7/2014,Queens,13
5/7/2014,Staten Island,13
5/8/2014,Bronx,10
5/8/2014,Brooklyn,21
5/8/2014,Manhattan,36
5/8/2014,Queens,10
5/8/2014,Staten Island,6
5/8/2014,Unknown,51
5/9/2014,Bronx,17
5/9/2014,Brooklyn,26
5/9/2014,Manhattan,9
5/9/2014,Queens,23
5/10/2014,Bronx,3
5/10/2014,Brooklyn,10
5/10/2014,Manhattan,15
5/11/2014,Bronx,9
5/11/2014,Brooklyn,12
5/11/2014,Manhattan,12
5/12/2014,Bronx,5
5/12/2014,Brooklyn,9
5/12/2014,Manhattan,24
5/12/2014,Queens,16
5/12/2014,Staten Island,5
5/13/2014,Bronx,11
5/13/2014,Brooklyn,26
5/13/2014,Manhattan,5
5/13/2014,Queens,38
5/13/2014,Staten Island,6
5/14/2014,Brooklyn,2
5/14/2014,Bronx,8
5/14/2014,Brooklyn,5
5/14/2014,Manhattan,25
5/14/2014,Queens,18
5/14/2014,Staten Island,10
5/15/2014,Bronx,16
5/15/2014,Brooklyn,27
5/15/2014,Manhattan,15
5/15/2014,Queens,2
5/15/2014,Staten Island,3
5/16/2014,Queens,4
5/17/2014,Bronx,10
5/17/2014,Brooklyn,6
5/17/2014,Queens,8
5/17/2014,Staten Island,8
5/18/2014,Bronx,7
5/18/2014,Brooklyn,2
5/18/2014,Manhattan,7
5/18/2014,Queens,21
5/19/2014,Bronx,6
5/19/2014,Brooklyn,5
5/19/2014,Manhattan,22
5/19/2014,Queens,17
5/19/2014,Staten Island,6
5/20/2014,Bronx,12
5/20/2014,Brooklyn,17
5/20/2014,Manhattan,12
5/20/2014,Queens,16
5/20/2014,Staten Island,4
5/21/2014,Bronx,7
5/21/2014,Brooklyn,15
5/21/2014,Manhattan,26
5/21/2014,Outside NYC,1
5/21/2014,Queens,23
5/21/2014,Staten Island,8
5/22/2014,Bronx,6
5/22/2014,Brooklyn,23
5/22/2014,Manhattan,17
5/22/2014,Queens,3
5/22/2014,Staten Island,5
5/22/2014,Unknown,5
5/23/2014,Bronx,4
5/23/2014,Brooklyn,1
5/23/2014,Queens,4
5/24/2014,Bronx,5
5/24/2014,Brooklyn,5
5/27/2014,Bronx,5
5/27/2014,Brooklyn,6
5/27/2014,Manhattan,16
5/27/2014,Queens,6
5/27/2014,Staten Island,1
5/27/2014,Unknown,3
5/28/2014,Bronx,6
5/28/2014,Brooklyn,9
5/28/2014,Manhattan,25
5/28/2014,Queens,12
5/28/2014,Staten Island,13
5/29/2014,Bronx,6
5/29/2014,Brooklyn,15
5/29/2014,Manhattan,21
5/29/2014,Queens,7
5/29/2014,Staten Island,5
5/30/2014,Bronx,5
5/30/2014,Brooklyn,12
5/30/2014,Manhattan,11
5/30/2014,Queens,24
5/30/2014,Staten Island,2
5/31/2014,Brooklyn,3
5/31/2014,Queens,6
6/1/2014,Bronx,6
6/1/2014,Manhattan,3
6/2/2014,Bronx,5
6/2/2014,Brooklyn,6
6/2/2014,Manhattan,6
6/2/2014,Queens,6
6/3/2014,Bronx,11
6/3/2014,Brooklyn,16
6/3/2014,Manhattan,9
6/3/2014,Queens,17
6/4/2014,Bronx,2
6/4/2014,Brooklyn,10
6/4/2014,Manhattan,16
6/4/2014,Queens,9
6/4/2014,Staten Island,2
6/5/2014,Bronx,2
6/5/2014,Brooklyn,20
6/5/2014,Manhattan,21
6/5/2014,Outside NYC,1
6/5/2014,Queens,6
6/5/2014,Staten Island,1
6/6/2014,Bronx,9
6/6/2014,Brooklyn,7
6/6/2014,Manhattan,18
6/6/2014,Queens,11
6/6/2014,Staten Island,4
6/7/2014,Brooklyn,7
6/7/2014,Manhattan,3
6/7/2014,Queens,2
6/8/2014,Bronx,4
6/8/2014,Brooklyn,17
6/8/2014,Manhattan,2
6/8/2014,Queens,1
6/9/2014,Bronx,4
6/9/2014,Brooklyn,10
6/9/2014,Manhattan,11
6/9/2014,Queens,8
6/9/2014,Staten Island,10
6/9/2014,Unknown,2
6/10/2014,Bronx,13
6/10/2014,Brooklyn,19
6/10/2014,Manhattan,6
6/10/2014,Queens,9
6/10/2014,Unknown,25
6/11/2014,Bronx,6
6/11/2014,Brooklyn,17
6/11/2014,Manhattan,14
6/11/2014,Queens,4
6/11/2014,Staten Island,10
6/12/2014,Bronx,3
6/12/2014,Brooklyn,27
6/12/2014,Manhattan,4
6/12/2014,Queens,11
6/12/2014,Staten Island,1
6/13/2014,Bronx,7
6/13/2014,Brooklyn,14
6/13/2014,Manhattan,9
6/13/2014,Queens,11
6/13/2014,Staten Island,6
6/14/2014,Bronx,4
6/14/2014,Brooklyn,1
6/14/2014,Manhattan,12
6/15/2014,Brooklyn,7
6/15/2014,Manhattan,20
6/16/2014,Bronx,4
6/16/2014,Brooklyn,12
6/16/2014,Manhattan,14
6/16/2014,Queens,40
6/16/2014,Staten Island,6
6/16/2014,Unknown,34
6/17/2014,Bronx,2
6/17/2014,Brooklyn,23
6/17/2014,Manhattan,7
6/17/2014,Queens,8
6/17/2014,Staten Island,1
6/17/2014,Unknown,9
6/18/2014,Bronx,2
6/18/2014,Brooklyn,4
6/18/2014,Manhattan,8
6/18/2014,Queens,4
6/18/2014,Staten Island,8
6/19/2014,Bronx,6
6/19/2014,Brooklyn,21
6/19/2014,Manhattan,8
6/19/2014,Queens,2
6/19/2014,Staten Island,2
6/20/2014,Bronx,3
6/20/2014,Brooklyn,4
6/20/2014,Manhattan,21
6/20/2014,Queens,13
6/20/2014,Staten Island,8
6/21/2014,Bronx,11
6/21/2014,Brooklyn,7
6/21/2014,Manhattan,6
6/21/2014,Queens,6
6/22/2014,Bronx,4
6/22/2014,Brooklyn,14
6/22/2014,Queens,1
6/22/2014,Staten Island,1
6/23/2014,Bronx,4
6/23/2014,Brooklyn,19
6/23/2014,Manhattan,8
6/23/2014,Queens,6
6/24/2014,Bronx,2
6/24/2014,Brooklyn,12
6/24/2014,Manhattan,10
6/24/2014,Queens,12
6/24/2014,Unknown,6
6/25/2014,Bronx,1
6/25/2014,Queens,1
6/26/2014,Bronx,8
6/26/2014,Brooklyn,29
6/26/2014,Manhattan,14
6/26/2014,Queens,5
6/27/2014,Bronx,1
6/27/2014,Brooklyn,13
6/27/2014,Manhattan,19
6/27/2014,Queens,9
6/27/2014,Staten Island,7
6/28/2014,Manhattan,9
6/28/2014,Queens,4
6/28/2014,Staten Island,3
6/30/2014,Bronx,20
6/30/2014,Brooklyn,20
6/30/2014,Manhattan,20
6/30/2014,Queens,7
7/1/2014,Bronx,7
7/1/2014,Brooklyn,26
7/1/2014,Manhattan,19
7/1/2014,Queens,21
7/1/2014,Staten Island,5
7/2/2014,Bronx,4
7/2/2014,Brooklyn,17
7/2/2014,Manhattan,18
7/2/2014,Queens,12
7/2/2014,Staten Island,6
7/3/2014,Bronx,6
7/3/2014,Brooklyn,21
7/3/2014,Manhattan,8
7/3/2014,Outside NYC,1
7/3/2014,Queens,5
7/3/2014,Staten Island,4
7/3/2014,Unknown,13
7/5/2014,Manhattan,4
7/5/2014,Queens,3
7/7/2014,Bronx,4
7/7/2014,Brooklyn,13
7/7/2014,Manhattan,21
7/7/2014,Queens,7
7/7/2014,Staten Island,1
7/8/2014,Bronx,8
7/8/2014,Brooklyn,23
7/8/2014,Manhattan,20
7/8/2014,Outside NYC,1
7/8/2014,Queens,30
7/8/2014,Staten Island,19
7/9/2014,Bronx,2
7/9/2014,Brooklyn,17
7/9/2014,Manhattan,29
7/9/2014,Queens,15
7/9/2014,Staten Island,14
7/9/2014,Unknown,1
7/10/2014,Bronx,8
7/10/2014,Brooklyn,36
7/10/2014,Manhattan,19
7/10/2014,Queens,4
7/10/2014,Staten Island,17
7/10/2014,Unknown,31
7/11/2014,Bronx,3
7/11/2014,Brooklyn,3
7/11/2014,Manhattan,23
7/11/2014,Queens,9
7/11/2014,Staten Island,5
7/14/2014,Bronx,5
7/14/2014,Brooklyn,7
7/14/2014,Manhattan,18
7/14/2014,Queens,4
7/15/2014,Bronx,4
7/15/2014,Brooklyn,14
7/15/2014,Manhattan,6
7/15/2014,Queens,19
7/16/2014,Bronx,1
7/16/2014,Brooklyn,3
7/16/2014,Manhattan,24
7/16/2014,Outside NYC,1
7/16/2014,Queens,1
7/16/2014,Staten Island,6
7/17/2014,Bronx,8
7/17/2014,Brooklyn,9
7/17/2014,Manhattan,22
7/17/2014,Queens,10
7/17/2014,Staten Island,4
7/17/2014,Unknown,66
7/18/2014,Bronx,3
7/18/2014,Brooklyn,19
7/18/2014,Manhattan,24
7/18/2014,Queens,10
7/18/2014,Staten Island,15
7/18/2014,Unknown,16
7/19/2014,Bronx,3
7/19/2014,Manhattan,2
7/21/2014,Bronx,11
7/21/2014,Brooklyn,25
7/21/2014,Manhattan,42
7/21/2014,Queens,22
7/22/2014,Bronx,13
7/22/2014,Brooklyn,29
7/22/2014,Manhattan,25
7/22/2014,Queens,11
7/22/2014,Staten Island,1
7/22/2014,Unknown,1
7/23/2014,Bronx,1
7/23/2014,Brooklyn,12
7/23/2014,Manhattan,32
7/23/2014,Queens,9
7/23/2014,Staten Island,3
7/24/2014,Bronx,10
7/24/2014,Brooklyn,23
7/24/2014,Manhattan,19
7/24/2014,Queens,8
7/25/2014,Bronx,5
7/25/2014,Brooklyn,7
7/25/2014,Manhattan,34
7/25/2014,Queens,11
7/25/2014,Staten Island,4
7/25/2014,Unknown,3
7/26/2014,Brooklyn,3
7/28/2014,Bronx,6
7/28/2014,Brooklyn,2
7/28/2014,Manhattan,15
7/28/2014,Queens,14
7/28/2014,Staten Island,3
7/29/2014,Bronx,8
7/29/2014,Brooklyn,15
7/29/2014,Manhattan,20
7/29/2014,Queens,22
7/30/2014,Bronx,4
7/30/2014,Brooklyn,16
7/30/2014,Manhattan,19
7/30/2014,Queens,9
7/30/2014,Staten Island,5
7/31/2014,Bronx,13
7/31/2014,Brooklyn,22
7/31/2014,Manhattan,26
7/31/2014,Queens,5
7/31/2014,Staten Island,1
7/31/2014,Unknown,6
8/1/2014,Brooklyn,1
8/1/2014,Bronx,4
8/1/2014,Brooklyn,4
8/1/2014,Manhattan,22
8/1/2014,Queens,11
8/1/2014,Staten Island,9
8/4/2014,Bronx,2
8/4/2014,Brooklyn,5
8/4/2014,Manhattan,20
8/4/2014,Queens,1
8/4/2014,Staten Island,2
8/4/2014,Unknown,3
8/5/2014,Bronx,9
8/5/2014,Brooklyn,12
8/5/2014,Manhattan,21
8/5/2014,Queens,10
8/5/2014,Staten Island,3
8/5/2014,Unknown,5
8/6/2014,Bronx,3
8/6/2014,Brooklyn,16
8/6/2014,Manhattan,36
8/6/2014,Queens,13
8/6/2014,Staten Island,3
8/7/2014,Bronx,8
8/7/2014,Brooklyn,23
8/7/2014,Manhattan,19
8/7/2014,Queens,5
8/7/2014,Staten Island,2
8/8/2014,Bronx,3
8/8/2014,Brooklyn,8
8/8/2014,Manhattan,36
8/8/2014,Queens,17
8/8/2014,Staten Island,4
